Name,Date ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,close ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
Eicher Motor,04-Sep-25,"6,690.00","6,713.00","6,411.50","6,371.50","6,425.00","6,713.00","4,508.75","11,81,698","7,70,12,20,718.00","1,19,597"
Eicher Motor,03-Sep-25,"6,349.00","6,379.00","6,308.00","6,349.00","6,371.50","6,388.00","4,508.75","5,36,107","3,40,37,53,056.00","69,548"
Eicher Motor,02-Sep-25,"6,310.50","6,388.00","6,282.50","6,280.00","6,349.00","6,388.00","4,508.75","7,01,158","4,44,78,05,140.00","82,905"
Eicher Motor,01-Sep-25,"6,085.00","6,292.00","6,085.00","6,103.00","6,280.00","6,292.00","4,508.75","6,98,178","4,33,74,95,957.50","66,407"
Eicher Motor,29-Aug-25,"6,149.00","6,174.50","6,070.00","6,133.00","6,103.00","6,269.50","4,508.75","4,96,302","3,03,10,20,408.50","62,254"
Eicher Motor,28-Aug-25,"6,269.50","6,269.50","6,121.00","6,151.00","6,133.00","6,269.50","4,508.75","7,19,052","4,44,11,85,948.50","82,711"
Eicher Motor,26-Aug-25,"5,980.00","6,210.00","5,960.00","5,990.50","6,151.00","6,210.00","4,508.75","14,74,805","9,02,99,78,590.00","1,33,812"
Eicher Motor,25-Aug-25,"5,945.00","6,009.00","5,880.00","5,924.50","5,990.50","6,024.50","4,508.75","8,22,944","4,90,05,25,996.50","69,723"
Eicher Motor,22-Aug-25,"5,970.00","5,973.00","5,913.50","5,975.00","5,924.50","6,024.50","4,508.75","2,73,421","1,62,49,77,596.00","39,708"
Eicher Motor,21-Aug-25,"5,990.00","5,992.50","5,898.00","5,937.50","5,975.00","6,024.50","4,508.75","4,99,089","2,96,40,89,259.00","38,496"
Eicher Motor,20-Aug-25,"5,964.00","5,969.50","5,905.00","5,938.50","5,937.50","6,024.50","4,508.75","5,10,626","3,02,85,35,321.00","70,969"
Eicher Motor,19-Aug-25,"5,918.00","5,995.00","5,891.50","5,912.00","5,938.50","6,024.50","4,508.75","8,43,617","5,02,63,80,733.50","70,700"
Eicher Motor,18-Aug-25,"5,880.00","6,024.50","5,825.50","5,764.00","5,912.00","6,024.50","4,508.75","12,88,582","7,64,62,07,203.00","1,11,916"
Eicher Motor,14-Aug-25,"5,710.00","5,785.50","5,710.00","5,714.50","5,764.00","5,906.50","4,508.75","4,15,010","2,38,85,79,588.50","44,835"
Eicher Motor,13-Aug-25,"5,658.00","5,757.50","5,648.50","5,658.00","5,714.50","5,906.50","4,508.75","4,27,562","2,44,56,39,584.00","39,927"
Eicher Motor,12-Aug-25,"5,679.50","5,694.00","5,643.00","5,671.50","5,658.00","5,906.50","4,508.75","4,29,572","2,43,29,09,670.50","37,473"
Eicher Motor,11-Aug-25,"5,677.00","5,708.50","5,652.50","5,663.00","5,671.50","5,906.50","4,508.75","4,75,811","2,70,08,44,083.50","49,872"
Eicher Motor,08-Aug-25,"5,681.50","5,711.50","5,655.50","5,681.50","5,663.00","5,906.50","4,508.75","3,73,874","2,12,32,75,605.50","35,756"
Eicher Motor,07-Aug-25,"5,660.00","5,694.50","5,588.00","5,668.00","5,681.50","5,906.50","4,508.75","2,66,900","1,50,44,70,137.00","26,328"
Eicher Motor,06-Aug-25,"5,684.50","5,712.50","5,651.00","5,681.00","5,668.00","5,906.50","4,508.75","2,02,535","1,15,01,06,104.00","32,770"
Eicher Motor,05-Aug-25,"5,625.00","5,690.00","5,584.50","5,621.00","5,681.00","5,906.50","4,508.75","4,58,305","2,58,61,93,886.50","54,068"
Eicher Motor,04-Aug-25,"5,527.50","5,670.00","5,520.00","5,528.00","5,621.00","5,906.50","4,508.75","5,05,407","2,84,19,44,721.50","49,280"
Eicher Motor,01-Aug-25,"5,551.00","5,670.00","5,475.00","5,468.50","5,528.00","5,906.50","4,508.75","14,08,773","7,85,35,87,520.00","1,24,153"
Eicher Motor,31-Jul-25,"5,450.00","5,510.00","5,386.50","5,481.00","5,468.50","5,906.50","4,508.75","3,07,018","1,67,56,56,765.00","45,762"
Eicher Motor,30-Jul-25,"5,465.00","5,556.50","5,440.00","5,470.50","5,481.00","5,906.50","4,508.75","2,66,223","1,46,41,66,268.50","44,329"
Eicher Motor,29-Jul-25,"5,390.00","5,484.00","5,353.00","5,386.00","5,470.50","5,906.50","4,508.75","2,17,256","1,17,94,31,610.00","25,599"
Eicher Motor,28-Jul-25,"5,433.00","5,456.00","5,357.00","5,433.00","5,386.00","5,906.50","4,508.75","3,22,292","1,74,02,51,611.50","42,807"
Eicher Motor,25-Jul-25,"5,480.00","5,480.00","5,372.50","5,469.00","5,433.00","5,906.50","4,508.75","2,92,877","1,58,61,15,194.50","32,791"
Eicher Motor,24-Jul-25,"5,440.00","5,502.00","5,434.00","5,441.50","5,469.00","5,906.50","4,508.75","2,84,450","1,55,57,30,401.50","25,691"
Eicher Motor,23-Jul-25,"5,432.00","5,462.00","5,422.00","5,439.50","5,441.50","5,906.50","4,508.75","3,44,237","1,87,35,89,562.50","24,869"
Eicher Motor,22-Jul-25,"5,470.00","5,539.00","5,433.50","5,558.00","5,439.50","5,906.50","4,508.75","5,17,944","2,83,06,61,630.50","44,796"
Eicher Motor,21-Jul-25,"5,597.00","5,627.00","5,540.50","5,627.50","5,558.00","5,906.50","4,508.75","1,90,717","1,06,35,81,958.00","24,111"
Eicher Motor,18-Jul-25,"5,664.00","5,681.50","5,611.50","5,650.00","5,627.50","5,906.50","4,508.75","2,54,828","1,43,70,44,289.00","31,578"
