Name,Date ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,close ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
Asian Paint,04-Sep-25,"2,553.90","2,583.00","2,553.00","2,553.90","2,568.60","3,394.90","2,124.75","9,33,071","2,39,83,37,278.70","74,273"
Asian Paint,03-Sep-25,"2,530.00","2,565.10","2,527.30","2,540.00","2,553.90","3,394.90","2,124.75","9,25,847","2,36,15,33,560.30","56,343"
Asian Paint,02-Sep-25,"2,569.00","2,571.90","2,531.00","2,570.20","2,540.00","3,394.90","2,124.75","10,24,054","2,61,08,85,776.30","85,903"
Asian Paint,01-Sep-25,"2,518.00","2,577.80","2,515.10","2,518.60","2,570.20","3,394.90","2,124.75","13,14,833","3,36,59,06,195.70","62,406"
Asian Paint,29-Aug-25,"2,491.00","2,531.60","2,490.00","2,489.00","2,518.60","3,394.90","2,124.75","17,98,653","4,52,04,02,451.20","1,05,469"
Asian Paint,28-Aug-25,"2,465.00","2,528.00","2,465.00","2,481.40","2,489.00","3,394.90","2,124.75","14,85,769","3,72,32,34,769.70","1,05,181"
Asian Paint,26-Aug-25,"2,481.10","2,523.30","2,468.00","2,492.90","2,481.40","3,394.90","2,124.75","71,06,393","17,64,90,19,058.80","1,34,307"
Asian Paint,25-Aug-25,"2,516.00","2,522.50","2,476.00","2,504.50","2,492.90","3,394.90","2,124.75","7,66,497","1,91,16,06,922.90","59,779"
Asian Paint,22-Aug-25,"2,562.80","2,569.30","2,501.10","2,566.60","2,504.50","3,394.90","2,124.75","5,23,774","1,31,94,57,472.40","46,272"
Asian Paint,21-Aug-25,"2,574.90","2,576.00","2,559.30","2,570.10","2,566.60","3,394.90","2,124.75","7,81,082","2,00,44,58,783.10","38,208"
Asian Paint,20-Aug-25,"2,578.00","2,579.30","2,563.40","2,579.40","2,570.10","3,394.90","2,124.75","3,08,028","79,19,56,221.80","36,979"
Asian Paint,19-Aug-25,"2,587.40","2,595.00","2,561.20","2,587.40","2,579.40","3,394.90","2,124.75","6,98,587","1,80,17,13,644.40","60,592"
Asian Paint,18-Aug-25,"2,550.00","2,595.00","2,536.60","2,528.70","2,587.40","3,394.90","2,124.75","17,55,615","4,51,76,86,760.70","1,07,645"
Asian Paint,14-Aug-25,"2,505.00","2,534.90","2,497.70","2,500.20","2,528.70","3,394.90","2,124.75","10,88,550","2,74,24,13,198.50","82,726"
Asian Paint,13-Aug-25,"2,479.80","2,504.40","2,461.20","2,478.30","2,500.20","3,394.90","2,124.75","3,50,844","87,53,36,847.90","31,382"
Asian Paint,12-Aug-25,"2,489.10","2,502.80","2,474.00","2,489.10","2,478.30","3,394.90","2,124.75","6,08,984","1,51,52,59,131.70","61,510"
Asian Paint,11-Aug-25,"2,463.90","2,504.20","2,452.00","2,475.60","2,489.10","3,394.90","2,124.75","7,21,135","1,79,15,20,953.60","66,377"
Asian Paint,08-Aug-25,"2,506.50","2,511.70","2,468.50","2,506.50","2,475.60","3,394.90","2,124.75","11,78,226","2,93,57,02,156.30","1,09,498"
Asian Paint,07-Aug-25,"2,484.10","2,510.00","2,466.90","2,491.20","2,506.50","3,394.90","2,124.75","15,02,806","3,74,30,02,537.30","75,726"
Asian Paint,06-Aug-25,"2,440.00","2,505.60","2,440.00","2,436.80","2,491.20","3,394.90","2,124.75","20,19,109","5,02,10,94,057.10","1,06,533"
Asian Paint,05-Aug-25,"2,461.90","2,463.70","2,409.10","2,449.80","2,436.80","3,394.90","2,124.75","6,59,094","1,60,34,80,439.00","43,105"
Asian Paint,04-Aug-25,"2,443.20","2,467.00","2,439.60","2,431.00","2,449.80","3,394.90","2,124.75","11,65,898","2,85,96,89,906.00","75,984"
Asian Paint,01-Aug-25,"2,378.00","2,472.00","2,378.00","2,396.10","2,431.00","3,394.90","2,124.75","22,25,293","5,44,45,03,615.10","1,09,846"
Asian Paint,31-Jul-25,"2,401.40","2,417.20","2,373.50","2,415.80","2,396.10","3,394.90","2,124.75","12,74,735","3,05,90,12,568.50","86,988"
Asian Paint,30-Jul-25,"2,409.00","2,443.80","2,366.50","2,401.50","2,415.80","3,394.90","2,124.75","16,85,818","4,07,72,05,818.80","1,01,534"
Asian Paint,29-Jul-25,"2,359.00","2,418.30","2,325.00","2,359.60","2,401.50","3,394.90","2,124.75","17,42,815","4,15,93,05,149.80","1,14,151"
Asian Paint,28-Jul-25,"2,336.20","2,366.40","2,320.00","2,336.20","2,359.60","3,394.90","2,124.75","6,50,364","1,52,89,10,548.30","48,878"
Asian Paint,25-Jul-25,"2,340.00","2,350.50","2,325.80","2,352.10","2,336.20","3,394.90","2,124.75","3,83,636","89,65,46,545.90","35,385"
Asian Paint,24-Jul-25,"2,375.40","2,380.00","2,341.00","2,375.40","2,352.10","3,394.90","2,124.75","5,06,960","1,19,45,73,369.30","37,060"
Asian Paint,23-Jul-25,"2,363.00","2,384.70","2,352.60","2,365.20","2,375.40","3,394.90","2,124.75","3,68,999","87,23,01,520.90","35,010"
Asian Paint,22-Jul-25,"2,375.40","2,380.80","2,361.30","2,375.40","2,365.20","3,394.90","2,124.75","4,11,317","97,39,45,345.90","36,497"
Asian Paint,21-Jul-25,"2,382.40","2,408.00","2,360.80","2,382.40","2,375.40","3,394.90","2,124.75","3,90,934","92,72,44,568.90","30,724"
Asian Paint,18-Jul-25,"2,400.60","2,405.00","2,372.30","2,398.90","2,382.40","3,394.90","2,124.75","5,99,552","1,42,97,40,039.30","89,418"
Asian Paint,17-Jul-25,"2,404.10","2,414.00","2,394.00","2,410.50","2,398.90","3,394.90","2,124.75","5,26,164","1,26,42,29,735.30","50,280"
Asian Paint,16-Jul-25,"2,381.00","2,422.40","2,371.00","2,393.50","2,410.50","3,394.90","2,124.75","12,00,913","2,88,83,01,085.20","72,926"
Asian Paint,15-Jul-25,"2,409.90","2,415.00","2,386.30","2,401.60","2,393.50","3,394.90","2,124.75","6,10,228","1,46,23,97,463.30","58,145"
Asian Paint,14-Jul-25,"2,431.10","2,448.60","2,391.00","2,439.20","2,401.60","3,394.90","2,124.75","8,91,624","2,14,56,38,312.60","56,494"
Asian Paint,11-Jul-25,"2,447.50","2,484.80","2,435.50","2,451.20","2,439.20","3,394.90","2,124.75","10,50,466","2,58,04,76,380.10","81,854"
Asian Paint,10-Jul-25,"2,507.30","2,512.00","2,445.10","2,498.90","2,451.20","3,394.90","2,124.75","9,32,978","2,30,87,43,113.10","61,536"
Asian Paint,09-Jul-25,"2,520.50","2,535.00","2,492.90","2,484.60","2,498.90","3,394.90","2,124.75","23,28,785","5,84,75,45,663.90","1,19,059"
Asian Paint,08-Jul-25,"2,440.50","2,488.00","2,437.30","2,442.80","2,484.60","3,394.90","2,124.75","11,36,367","2,80,56,13,212.20","70,976"
Asian Paint,07-Jul-25,"2,423.30","2,465.10","2,421.00","2,424.20","2,442.80","3,394.90","2,124.75","8,69,054","2,12,54,38,016.90","65,276"
Asian Paint,04-Jul-25,"2,430.90","2,443.00","2,412.00","2,430.90","2,424.20","3,394.90","2,124.75","6,02,320","1,46,02,65,353.90","45,164"
Asian Paint,03-Jul-25,"2,428.90","2,464.40","2,425.00","2,419.40","2,430.90","3,394.90","2,124.75","15,47,489","3,78,28,22,817.80","90,059"
Asian Paint,02-Jul-25,"2,340.00","2,430.00","2,327.00","2,369.50","2,419.40","3,394.90","2,124.75","19,36,060","4,61,89,93,872.20","83,746"
Asian Paint,01-Jul-25,"2,380.50","2,400.00","2,350.20","2,341.10","2,369.50","3,394.90","2,124.75","12,32,160","2,92,30,27,853.10","78,111"
Asian Paint,30-Jun-25,"2,362.00","2,369.90","2,326.10","2,358.70","2,341.10","3,394.90","2,124.75","7,85,414","1,83,87,97,546.00","63,584"
Asian Paint,27-Jun-25,"2,283.00","2,364.50","2,277.10","2,289.80","2,358.70","3,394.90","2,124.75","15,55,259","3,63,21,56,218.30","80,723"
Asian Paint,26-Jun-25,"2,287.00","2,292.60","2,280.20","2,279.90","2,289.80","3,394.90","2,124.75","9,21,519","2,10,81,87,443.90","55,025"
Asian Paint,25-Jun-25,"2,276.10","2,294.30","2,275.40","2,275.30","2,279.90","3,394.90","2,124.75","8,07,391","1,84,20,73,400.20","36,233"
Asian Paint,24-Jun-25,"2,305.00","2,309.70","2,268.90","2,264.10","2,275.30","3,394.90","2,124.75","10,44,179","2,38,68,26,686.10","68,456"
Asian Paint,23-Jun-25,"2,261.20","2,272.80","2,253.90","2,285.70","2,264.10","3,394.90","2,124.75","5,96,186","1,34,95,08,429.40","46,126"
Asian Paint,20-Jun-25,"2,267.00","2,289.90","2,263.00","2,268.00","2,285.70","3,394.90","2,124.75","19,45,030","4,44,14,32,827.30","50,866"
Asian Paint,19-Jun-25,"2,270.00","2,285.00","2,264.00","2,281.40","2,268.00","3,394.90","2,124.75","5,24,936","1,19,46,09,089.70","37,899"
Asian Paint,18-Jun-25,"2,257.00","2,284.00","2,255.00","2,264.80","2,281.40","3,394.90","2,124.75","11,31,156","2,57,12,76,672.00","52,509"
Asian Paint,17-Jun-25,"2,231.00","2,281.00","2,227.00","2,244.80","2,264.80","3,394.90","2,124.75","15,40,986","3,48,95,41,462.20","60,073"
Asian Paint,16-Jun-25,"2,214.20","2,250.00","2,209.30","2,214.20","2,244.80","3,394.90","2,124.75","13,01,826","2,90,80,99,540.00","61,568"
Asian Paint,13-Jun-25,"2,175.00","2,217.10","2,174.80","2,219.40","2,214.20","3,394.90","2,124.75","17,86,808","3,93,62,59,598.60","84,761"
Asian Paint,12-Jun-25,"2,224.00","2,263.00","2,208.10","2,208.80","2,219.40","3,394.90","2,124.75","34,17,375","7,64,48,03,902.00","1,38,345"
Asian Paint,11-Jun-25,"2,209.00","2,225.90","2,207.20","2,218.90","2,208.80","3,394.90","2,124.75","14,31,027","3,16,87,20,833.50","57,088"
Asian Paint,10-Jun-25,"2,240.00","2,240.00","2,215.20","2,247.90","2,218.90","3,394.90","2,124.75","18,09,078","4,02,15,64,944.30","85,274"
Asian Paint,09-Jun-25,"2,240.00","2,255.80","2,236.00","2,245.20","2,247.90","3,394.90","2,124.75","10,41,859","2,34,09,93,113.80","46,288"
Asian Paint,06-Jun-25,"2,249.10","2,252.60","2,239.00","2,243.50","2,245.20","3,394.90","2,124.75","8,22,087","1,84,54,64,870.70","36,801"
Asian Paint,05-Jun-25,"2,251.10","2,261.00","2,233.00","2,249.00","2,243.50","3,394.90","2,124.75","9,96,615","2,23,64,94,687.30","51,385"
Asian Paint,04-Jun-25,"2,249.50","2,261.00","2,240.90","2,255.70","2,249.00","3,394.90","2,124.75","7,68,084","1,72,71,51,815.70","36,037"
Asian Paint,03-Jun-25,"2,272.60","2,287.30","2,246.70","2,266.70","2,255.70","3,394.90","2,124.75","7,92,587","1,79,05,40,599.80","55,680"
Asian Paint,02-Jun-25,"2,259.10","2,272.30","2,257.90","2,259.10","2,266.70","3,394.90","2,124.75","7,02,789","1,59,21,80,294.90","41,035"
Asian Paint,30-May-25,"2,296.50","2,304.00","2,255.00","2,294.30","2,259.10","3,394.90","2,124.75","36,10,474","8,17,30,46,111.50","82,010"
Asian Paint,29-May-25,"2,303.20","2,309.00","2,286.50","2,303.20","2,294.30","3,394.90","2,124.75","14,14,643","3,24,46,58,118.70","58,620"
Asian Paint,28-May-25,"2,327.60","2,333.00","2,300.30","2,327.60","2,303.20","3,394.90","2,124.75","7,74,808","1,78,83,86,495.70","63,744"
Asian Paint,27-May-25,"2,313.10","2,351.60","2,301.10","2,327.20","2,327.60","3,394.90","2,124.75","24,85,428","5,79,79,81,367.60","98,440"
Asian Paint,26-May-25,"2,316.00","2,338.00","2,302.80","2,315.50","2,327.20","3,394.90","2,124.75","12,58,062","2,91,70,99,101.90","68,731"
Asian Paint,23-May-25,"2,301.80","2,329.00","2,295.00","2,299.20","2,315.50","3,394.90","2,124.75","4,58,035","1,06,09,77,681.90","33,970"
Asian Paint,22-May-25,"2,309.20","2,310.00","2,283.10","2,312.40","2,299.20","3,394.90","2,124.75","9,16,504","2,10,52,08,273.10","62,407"
Asian Paint,21-May-25,"2,296.00","2,316.20","2,290.00","2,295.60","2,312.40","3,394.90","2,124.75","4,69,330","1,08,30,76,347.70","41,864"
Asian Paint,20-May-25,"2,347.50","2,347.70","2,291.40","2,331.40","2,295.60","3,394.90","2,124.75","10,95,846","2,52,72,89,936.00","61,266"
Asian Paint,19-May-25,"2,353.60","2,378.90","2,326.60","2,353.60","2,331.40","3,394.90","2,124.75","5,52,961","1,29,79,28,267.50","50,106"
Asian Paint,16-May-25,"2,333.90","2,355.00","2,315.00","2,329.90","2,353.60","3,394.90","2,124.75","7,85,113","1,83,72,68,694.20","54,809"
Asian Paint,15-May-25,"2,285.00","2,335.50","2,268.00","2,282.30","2,329.90","3,394.90","2,124.75","16,75,016","3,86,35,90,864.00","1,13,120"
Asian Paint,14-May-25,"2,319.00","2,319.00","2,277.10","2,324.60","2,282.30","3,394.90","2,124.75","15,49,845","3,54,60,48,010.40","1,16,059"
Asian Paint,13-May-25,"2,354.00","2,358.00","2,315.10","2,356.40","2,324.60","3,394.90","2,124.75","12,20,489","2,84,22,70,299.00","81,010"
Asian Paint,12-May-25,"2,330.00","2,378.50","2,321.00","2,299.60","2,356.40","3,394.90","2,124.75","9,40,135","2,21,68,52,600.70","47,346"
Asian Paint,09-May-25,"2,246.60","2,331.80","2,245.00","2,302.60","2,299.60","3,394.90","2,124.75","15,03,010","3,45,74,41,372.60","92,881"
Asian Paint,08-May-25,"2,322.00","2,349.10","2,293.50","2,334.10","2,302.60","3,394.90","2,124.75","22,92,261","5,31,52,92,783.00","1,35,625"
Asian Paint,07-May-25,"2,388.00","2,405.70","2,318.50","2,418.00","2,334.10","3,394.90","2,124.75","17,11,760","4,04,31,39,077.00","1,09,336"
Asian Paint,06-May-25,"2,442.00","2,449.90","2,391.10","2,436.90","2,418.00","3,394.90","2,124.75","7,02,819","1,69,60,15,229.20","43,489"
Asian Paint,05-May-25,"2,423.10","2,475.00","2,423.10","2,409.80","2,436.90","3,394.90","2,124.75","12,29,593","3,01,76,08,685.60","70,327"
Asian Paint,02-May-25,"2,425.00","2,444.90","2,398.00","2,425.70","2,409.80","3,394.90","2,124.75","9,28,084","2,24,71,36,438.60","58,084"
Asian Paint,30-Apr-25,"2,450.00","2,462.20","2,401.50","2,451.10","2,425.70","3,394.90","2,124.75","14,79,678","3,59,89,36,957.00","77,845"
Asian Paint,29-Apr-25,"2,460.00","2,472.00","2,441.60","2,452.20","2,451.10","3,394.90","2,124.75","12,35,066","3,03,38,72,117.50","63,588"
Asian Paint,28-Apr-25,"2,419.90","2,459.80","2,405.00","2,431.60","2,452.20","3,394.90","2,124.75","5,54,922","1,35,44,85,970.80","52,292"
Asian Paint,25-Apr-25,"2,464.30","2,468.70","2,413.70","2,464.40","2,431.60","3,394.90","2,124.75","7,02,217","1,70,83,55,787.60","60,107"
Asian Paint,24-Apr-25,"2,450.00","2,491.00","2,435.90","2,453.10","2,464.40","3,394.90","2,124.75","12,03,452","2,96,73,36,184.40","77,050"
Asian Paint,23-Apr-25,"2,437.00","2,456.60","2,425.60","2,432.00","2,453.10","3,394.90","2,124.75","7,44,696","1,81,99,20,596.40","53,899"
Asian Paint,22-Apr-25,"2,445.00","2,450.00","2,413.50","2,445.00","2,432.00","3,394.90","2,124.75","5,43,658","1,32,37,69,901.60","52,528"
Asian Paint,21-Apr-25,"2,465.90","2,470.90","2,441.00","2,467.90","2,445.00","3,394.90","2,124.75","5,41,913","1,33,07,97,649.80","43,480"
Asian Paint,17-Apr-25,"2,459.90","2,476.40","2,431.00","2,459.90","2,467.90","3,394.90","2,124.75","8,85,842","2,18,10,85,537.10","76,147"
Asian Paint,16-Apr-25,"2,405.10","2,468.50","2,403.70","2,415.70","2,459.90","3,394.90","2,124.75","11,66,700","2,85,96,11,268.60","63,155"
Asian Paint,15-Apr-25,"2,414.90","2,425.00","2,385.00","2,393.60","2,415.70","3,394.90","2,124.75","11,41,279","2,74,94,44,084.70","60,826"
Asian Paint,11-Apr-25,"2,439.50","2,448.00","2,380.25","2,411.15","2,393.60","3,394.90","2,124.75","9,68,152","2,32,04,26,188.00","67,208"
Asian Paint,09-Apr-25,"2,400.00","2,429.45","2,390.90","2,394.20","2,411.15","3,394.90","2,124.75","11,86,947","2,86,68,11,898.20","81,370"
Asian Paint,08-Apr-25,"2,356.00","2,420.00","2,356.00","2,341.35","2,394.20","3,394.90","2,124.75","18,76,867","4,49,56,81,154.35","1,15,340"
Asian Paint,07-Apr-25,"2,190.00","2,354.00","2,190.00","2,356.05","2,341.35","3,394.90","2,124.75","17,45,827","4,06,63,09,645.10","1,39,328"
Asian Paint,04-Apr-25,"2,349.40","2,363.95","2,302.80","2,349.40","2,356.05","3,394.90","2,124.75","11,63,188","2,71,85,99,396.85","59,655"
Asian Paint,03-Apr-25,"2,295.00","2,354.90","2,289.80","2,306.65","2,349.40","3,394.90","2,124.75","6,08,846","1,42,44,39,299.45","46,641"
Asian Paint,02-Apr-25,"2,328.00","2,328.40","2,292.15","2,316.00","2,306.65","3,394.90","2,124.75","7,92,695","1,82,61,96,169.70","37,627"
Asian Paint,01-Apr-25,"2,342.00","2,361.70","2,305.75","2,340.65","2,316.00","3,394.90","2,124.75","9,70,583","2,25,83,65,027.60","60,637"
Asian Paint,28-Mar-25,"2,343.95","2,364.00","2,325.00","2,338.10","2,340.65","3,394.90","2,124.75","12,81,871","3,00,40,27,398.60","67,780"
Asian Paint,27-Mar-25,"2,315.00","2,350.10","2,290.50","2,323.15","2,338.10","3,394.90","2,124.75","14,97,869","3,49,08,26,200.35","80,747"
Asian Paint,26-Mar-25,"2,340.00","2,340.95","2,304.00","2,330.75","2,323.15","3,394.90","2,124.75","19,34,492","4,48,62,25,170.45","91,980"
Asian Paint,25-Mar-25,"2,325.00","2,344.50","2,308.00","2,322.50","2,330.75","3,394.90","2,124.75","18,28,005","4,25,15,79,023.80","89,092"
