Name,Date ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,close ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
Reliance,04-Sep-25,"1,371.80","1,374.00","1,357.10","1,372.60","1,359.30","3,066.95","1,114.85","1,32,23,177","18,03,59,88,833.70","2,00,473"
Reliance,03-Sep-25,"1,369.70","1,376.50","1,360.50","1,366.50","1,372.60","3,066.95","1,114.85","78,47,563","10,74,21,61,678.40","2,09,277"
Reliance,02-Sep-25,"1,354.80","1,384.50","1,354.50","1,353.90","1,366.50","3,066.95","1,114.85","1,15,17,006","15,82,76,20,364.30","2,35,433"
Reliance,01-Sep-25,"1,356.00","1,363.20","1,340.60","1,357.20","1,353.90","3,066.95","1,114.85","1,12,32,238","15,20,83,77,268.50","2,49,574"
Reliance,29-Aug-25,"1,381.10","1,403.50","1,350.00","1,385.90","1,357.20","3,079.45","1,114.85","1,87,58,842","25,79,60,85,387.60","3,48,532"
Reliance,28-Aug-25,"1,389.90","1,392.20","1,366.50","1,384.90","1,385.90","3,079.45","1,114.85","1,31,61,813","18,17,35,99,832.00","2,52,423"
Reliance,26-Aug-25,"1,408.00","1,410.00","1,381.60","1,412.60","1,384.90","3,079.45","1,114.85","1,21,45,259","16,89,13,59,345.30","2,01,578"
Reliance,25-Aug-25,"1,414.70","1,419.50","1,405.70","1,409.20","1,412.60","3,079.45","1,114.85","59,79,407","8,44,57,89,682.30","1,84,067"
Reliance,22-Aug-25,"1,420.00","1,423.40","1,407.90","1,424.80","1,409.20","3,079.45","1,114.85","58,18,868","8,22,78,76,997.30","1,37,165"
Reliance,21-Aug-25,"1,425.00","1,431.90","1,420.30","1,413.00","1,424.80","3,079.45","1,114.85","1,10,21,323","15,73,34,74,504.40","2,31,863"
Reliance,20-Aug-25,"1,413.00","1,424.90","1,410.00","1,420.10","1,413.00","3,079.45","1,114.85","87,25,641","12,37,79,83,949.70","1,96,554"
Reliance,19-Aug-25,"1,390.00","1,421.00","1,389.10","1,381.70","1,420.10","3,079.45","1,114.85","1,43,84,719","20,33,42,96,972.40","2,88,664"
Reliance,18-Aug-25,"1,390.00","1,394.90","1,377.00","1,373.80","1,381.70","3,079.45","1,114.85","1,17,85,109","16,31,30,18,769.80","3,19,844"
Reliance,14-Aug-25,"1,377.30","1,380.70","1,370.10","1,382.60","1,373.80","3,079.45","1,114.85","71,26,128","9,79,96,29,519.90","1,75,588"
Reliance,13-Aug-25,"1,388.00","1,391.80","1,377.50","1,380.40","1,382.60","3,079.45","1,114.85","74,57,021","10,32,19,69,058.70","2,08,576"
Reliance,12-Aug-25,"1,381.90","1,401.90","1,375.20","1,386.20","1,380.40","3,079.45","1,114.85","1,22,44,664","16,98,03,68,560.10","1,79,433"
Reliance,11-Aug-25,"1,370.00","1,388.00","1,361.20","1,367.80","1,386.20","3,079.45","1,114.85","99,97,486","13,75,43,51,256.50","2,26,304"
