Name,Date ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,close ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
Lupin,04-Sep-25,"1,961.00","1,964.40","1,931.10","1,951.10","1,939.20","2,402.90","1,795.20","3,82,655","74,27,78,315.90","34,007"
Lupin,03-Sep-25,"1,899.00","1,953.80","1,875.00","1,889.70","1,951.10","2,402.90","1,795.20","6,07,223","1,17,15,53,248.20","27,394"
Lupin,02-Sep-25,"1,908.00","1,908.00","1,882.40","1,898.00","1,889.70","2,402.90","1,795.20","4,05,325","76,71,86,888.70","24,506"
Lupin,01-Sep-25,"1,887.10","1,928.10","1,887.10","1,894.90","1,898.00","2,402.90","1,795.20","4,82,030","91,95,31,706.30","30,051"
Lupin,29-Aug-25,"1,902.40","1,917.70","1,890.00","1,902.40","1,894.90","2,402.90","1,795.20","8,65,960","1,64,64,40,086.10","59,248"
Lupin,28-Aug-25,"1,930.00","1,934.10","1,893.10","1,924.60","1,902.40","2,402.90","1,795.20","5,03,381","95,81,40,313.80","36,471"
Lupin,26-Aug-25,"1,963.10","1,963.10","1,911.00","1,966.30","1,924.60","2,402.90","1,795.20","15,23,467","2,93,16,97,837.40","41,640"
Lupin,25-Aug-25,"1,984.00","1,985.90","1,959.30","1,974.70","1,966.30","2,402.90","1,795.20","3,22,362","63,64,10,003.60","24,818"
Lupin,22-Aug-25,"1,970.00","1,978.80","1,962.50","1,962.50","1,974.70","2,402.90","1,795.20","3,80,574","75,06,10,113.90","31,173"
Lupin,21-Aug-25,"1,942.20","1,969.70","1,932.10","1,940.30","1,962.50","2,402.90","1,795.20","11,28,325","2,21,00,43,922.90","40,502"
Lupin,20-Aug-25,"1,968.60","1,970.00","1,932.80","1,968.60","1,940.30","2,402.90","1,795.20","5,62,011","1,09,26,10,355.60","52,944"
Lupin,19-Aug-25,"1,972.00","1,986.10","1,962.10","1,968.30","1,968.60","2,402.90","1,795.20","4,75,802","93,81,38,007.90","34,434"
Lupin,18-Aug-25,"1,975.00","1,984.70","1,950.90","1,961.60","1,968.30","2,402.90","1,795.20","7,11,882","1,39,90,54,222.00","38,556"
Lupin,14-Aug-25,"1,990.00","2,009.80","1,957.70","1,989.80","1,961.60","2,402.90","1,795.20","8,59,101","1,69,22,63,064.30","64,338"
Lupin,13-Aug-25,"1,943.80","2,005.80","1,943.80","1,943.80","1,989.80","2,402.90","1,795.20","8,75,771","1,73,85,59,394.00","44,944"
Lupin,12-Aug-25,"1,937.60","1,960.70","1,932.00","1,944.80","1,943.80","2,402.90","1,795.20","10,91,418","2,12,35,15,458.50","40,018"
Lupin,11-Aug-25,"1,918.00","1,950.70","1,906.30","1,918.00","1,944.80","2,402.90","1,795.20","10,16,105","1,96,44,55,265.80","34,598"
