Name,Date ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,close ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
Tata Motors,04-Sep-25,705.9,706.35,685.7,692.05,687.5,"1,105.00",535.75,"1,34,39,418","9,34,73,92,408.15","2,24,068"
Tata Motors,03-Sep-25,688,693.45,685,684.4,692.05,"1,105.00",535.75,"60,94,892","4,20,53,17,034.75","1,16,221"
Tata Motors,02-Sep-25,690.15,694.65,681.65,690.15,684.4,"1,105.00",535.75,"78,54,694","5,40,98,94,253.15","1,57,827"
Tata Motors,01-Sep-25,671.3,691.5,670.55,669,690.15,"1,105.00",535.75,"76,44,947","5,22,23,94,748.45","1,31,092"
Tata Motors,29-Aug-25,675.45,681.15,668,675.45,669,"1,142.00",535.75,"82,01,917","5,52,40,51,280.95","1,31,621"
Tata Motors,28-Aug-25,679.9,680.9,667.8,681.65,675.45,"1,142.00",535.75,"94,66,045","6,37,94,03,445.15","1,68,975"
Tata Motors,26-Aug-25,686.8,686.95,678.3,686.8,681.65,"1,142.00",535.75,"74,96,633","5,10,93,85,662.30","1,27,051"
Tata Motors,25-Aug-25,683.75,688.9,680.3,680.3,686.8,"1,142.00",535.75,"64,29,311","4,41,31,90,580.95","1,55,326"
Tata Motors,22-Aug-25,685.9,691.5,678.6,685.4,680.3,"1,142.00",535.75,"64,29,718","4,38,52,56,896.70","1,20,866"
Tata Motors,21-Aug-25,694,694.95,685,689.6,685.4,"1,142.00",535.75,"84,32,614","5,81,96,35,636.40","1,12,606"
Tata Motors,20-Aug-25,700.25,700.8,689,700.25,689.6,"1,142.00",535.75,"1,00,50,137","6,95,21,91,897.35","1,60,634"
Tata Motors,19-Aug-25,676.75,703.35,673.1,676,700.25,"1,142.00",535.75,"1,94,40,384","13,51,30,30,546.90","2,82,726"
Tata Motors,18-Aug-25,677,685,672.9,664.6,676,"1,142.00",535.75,"1,42,26,172","9,65,53,02,555.25","1,65,366"
Tata Motors,14-Aug-25,666,666.55,657.7,663.75,664.6,"1,142.00",535.75,"62,50,494","4,14,05,29,909.70","1,15,002"
Tata Motors,13-Aug-25,657.2,667,656.65,654.1,663.75,"1,142.00",535.75,"75,57,556","5,01,61,13,372.65","1,33,862"
Tata Motors,12-Aug-25,651.1,660.95,650.8,653.75,654.1,"1,142.00",535.75,"1,12,12,223","7,34,82,30,985.35","2,23,425"
Tata Motors,11-Aug-25,636.2,655,627.1,633.7,653.75,"1,142.00",535.75,"1,72,75,390","11,19,38,80,247.40","2,58,911"
Tata Motors,08-Aug-25,647.95,652.95,630,646.5,633.7,"1,142.00",535.75,"1,01,44,452","6,49,55,49,795.70","2,22,231"
Tata Motors,07-Aug-25,650,651.7,635.5,652.85,646.5,"1,142.00",535.75,"1,36,09,913","8,73,03,87,950.15","2,17,679"
Tata Motors,06-Aug-25,655,658,650.4,654.6,652.85,"1,142.00",535.75,"64,10,830","4,19,10,48,174.95","1,16,587"
Tata Motors,05-Aug-25,655.95,658.9,650.55,653.6,654.6,"1,142.00",535.75,"67,14,804","4,39,24,92,947.95","1,42,228"
Tata Motors,04-Aug-25,650.05,656.8,646,648.85,653.6,"1,142.00",535.75,"80,33,881","5,24,88,67,835.75","1,65,858"
Tata Motors,01-Aug-25,667.95,667.95,647,665.95,648.85,"1,179.00",535.75,"1,25,46,169","8,19,22,73,893.65","2,37,724"
Tata Motors,31-Jul-25,659.85,673.4,652.35,668.45,665.95,"1,179.00",535.75,"1,87,23,710","12,46,43,81,596.75","2,91,431"
Tata Motors,30-Jul-25,690,690,665.25,692.35,668.45,"1,179.00",535.75,"1,89,23,129","12,66,76,17,060.00","4,05,426"
Tata Motors,29-Jul-25,681.9,694,680.6,682.9,692.35,"1,179.00",535.75,"62,39,871","4,29,62,80,668.20","1,35,285"
Tata Motors,28-Jul-25,690.7,700.5,681.4,687.4,682.9,"1,179.00",535.75,"77,88,718","5,37,89,90,005.55","1,41,239"
Tata Motors,25-Jul-25,701,702.45,684.7,700.5,687.4,"1,179.00",535.75,"72,71,718","5,02,29,96,036.80","1,43,186"
Tata Motors,24-Jul-25,692.7,706.5,692.3,690.1,700.5,"1,179.00",535.75,"1,51,97,664","10,67,06,85,136.65","2,06,983"
Tata Motors,23-Jul-25,676.7,693.1,676.25,673.4,690.1,"1,179.00",535.75,"1,44,60,727","9,95,96,11,739.50","1,96,481"
Tata Motors,22-Jul-25,688,688.85,672.35,687.45,673.4,"1,179.00",535.75,"77,49,518","5,24,86,79,553.20","1,90,083"
Tata Motors,21-Jul-25,680.5,688.5,671.25,680.25,687.45,"1,179.00",535.75,"67,31,863","4,58,96,85,772.90","1,26,501"
Tata Motors,18-Jul-25,683.2,686,678,681.7,680.25,"1,179.00",535.75,"55,58,670","3,78,86,33,741.95","92,747"
Tata Motors,17-Jul-25,679,686.9,678.15,679,681.7,"1,179.00",535.75,"65,98,144","4,50,65,01,664.55","1,18,601"
Tata Motors,16-Jul-25,684.4,684.4,676.35,684.4,679,"1,179.00",535.75,"62,44,205","4,24,06,68,251.55","1,12,327"
Tata Motors,15-Jul-25,676,685.95,674.3,674.5,684.4,"1,179.00",535.75,"70,41,706","4,79,58,41,533.20","1,35,711"
Tata Motors,14-Jul-25,681,681,672,681.8,674.5,"1,179.00",535.75,"77,48,550","5,23,98,78,236.40","1,81,930"
Tata Motors,11-Jul-25,692.95,698.4,677.05,695.6,681.8,"1,179.00",535.75,"82,80,654","5,68,96,12,873.55","1,59,362"
Tata Motors,10-Jul-25,692,696.75,685,692.8,695.6,"1,179.00",535.75,"77,33,963","5,34,67,77,171.35","1,43,758"
Tata Motors,09-Jul-25,688.95,695.5,688.5,693.2,692.8,"1,179.00",535.75,"54,78,813","3,79,31,25,623.80","1,10,466"
Tata Motors,08-Jul-25,693,696.95,687.5,688.85,693.2,"1,179.00",535.75,"76,15,926","5,26,91,75,943.15","1,12,199"
Tata Motors,07-Jul-25,689.05,691.95,683.35,689.05,688.85,"1,179.00",535.75,"54,28,220","3,73,63,38,895.65","1,16,439"
Tata Motors,04-Jul-25,691,692.85,686.35,690.4,689.05,"1,179.00",535.75,"49,42,900","3,40,53,68,801.45","95,228"
Tata Motors,03-Jul-25,693.85,696.95,688.5,688.55,690.4,"1,179.00",535.75,"96,68,110","6,69,80,71,398.70","1,74,168"
Tata Motors,02-Jul-25,683.8,692.45,680.65,683.8,688.55,"1,179.00",535.75,"80,34,013","5,52,41,18,526.85","1,41,531"
Tata Motors,01-Jul-25,691.1,693.85,680.4,688,683.8,"1,179.00",535.75,"68,66,073","4,71,01,14,007.55","1,31,017"
Tata Motors,30-Jun-25,688.9,691.9,685,686.9,688,"1,179.00",535.75,"69,60,104","4,79,22,76,598.55","1,50,466"
Tata Motors,27-Jun-25,685,691.45,683,682.75,686.9,"1,179.00",535.75,"71,98,028","4,95,31,96,881.35","1,21,849"
Tata Motors,26-Jun-25,677,683.7,674.45,674.5,682.75,"1,179.00",535.75,"1,01,04,914","6,86,80,08,862.65","1,44,959"
Tata Motors,25-Jun-25,676,679,673.45,673.65,674.5,"1,179.00",535.75,"1,04,56,015","7,06,35,29,756.00","1,56,656"
Tata Motors,24-Jun-25,678,686.5,672,671.25,673.65,"1,179.00",535.75,"1,53,59,947","10,43,20,48,374.05","2,00,973"
Tata Motors,23-Jun-25,670,676,666.1,676.2,671.25,"1,179.00",535.75,"1,02,65,601","6,89,02,58,117.50","1,66,647"
Tata Motors,20-Jun-25,673.4,678.8,670.1,672.3,676.2,"1,179.00",535.75,"1,13,93,470","7,69,69,00,034.40","1,44,733"
Tata Motors,19-Jun-25,670.25,676.3,666.65,670.25,672.3,"1,179.00",535.75,"1,08,95,470","7,31,60,22,953.85","1,60,073"
Tata Motors,18-Jun-25,671.85,679.35,668,674.75,670.25,"1,179.00",535.75,"1,25,56,088","8,45,33,35,444.80","2,12,789"
Tata Motors,17-Jun-25,686.1,686.15,672,686.65,674.75,"1,179.00",535.75,"1,71,12,867","11,61,26,29,681.05","2,94,632"
Tata Motors,16-Jun-25,711,714,672.95,712.05,686.65,"1,179.00",535.75,"3,12,46,328","21,38,54,21,671.70","5,61,236"
Tata Motors,13-Jun-25,700,714.95,698.3,715.35,712.05,"1,179.00",535.75,"1,05,16,625","7,42,71,49,317.65","1,88,783"
Tata Motors,12-Jun-25,737,737.7,711.25,736.4,715.35,"1,179.00",535.75,"1,25,85,149","9,07,32,12,399.65","2,80,340"
Tata Motors,11-Jun-25,734.95,744,730.15,732.25,736.4,"1,179.00",535.75,"1,26,26,754","9,30,34,82,617.45","1,82,039"
Tata Motors,10-Jun-25,721,734.75,715.35,717.8,732.25,"1,179.00",535.75,"1,91,51,889","13,95,14,59,993.95","3,23,576"
Tata Motors,09-Jun-25,715,726,713.1,711,717.8,"1,179.00",535.75,"99,00,412","7,12,49,12,015.55","1,68,982"
Tata Motors,06-Jun-25,710,715.9,701.2,710.15,711,"1,179.00",535.75,"1,19,75,812","8,49,42,37,171.55","1,79,459"
Tata Motors,05-Jun-25,712.8,714.45,704,709.15,710.15,"1,179.00",535.75,"1,02,03,331","7,23,41,25,107.05","1,52,774"
Tata Motors,04-Jun-25,701.8,715.45,698.4,703.85,709.15,"1,179.00",535.75,"1,12,87,991","8,00,22,10,218.05","2,77,497"
Tata Motors,03-Jun-25,715,718.35,702.3,711.6,703.85,"1,179.00",535.75,"91,61,608","6,48,71,96,518.30","2,08,760"
Tata Motors,02-Jun-25,717,719,707.4,719.5,711.6,"1,179.00",535.75,"97,12,446","6,91,93,69,538.35","1,78,127"
Tata Motors,30-May-25,724.45,728.55,712.5,724.45,719.5,"1,179.00",535.75,"1,45,33,919","10,44,97,31,838.45","1,70,723"
Tata Motors,29-May-25,724.5,728.7,720,717.95,724.45,"1,179.00",535.75,"88,38,921","6,39,87,30,595.85","1,36,523"
